run,nr,vr,repetition,Module,normalQueueLength:timeavg
FactorialAnalysisPriority-38-20200110-15:06:51-19149,0.1,1.3 -(0.1),3,Network.kitchen,0.22581250344766
FactorialAnalysisPriority-23-20200110-15:06:35-19073,0.1,1.3 -(0.1),3,Network.kitchen,2.1257007251079
FactorialAnalysisPriority-25-20200110-15:06:38-19083,0.1,1.3 -(0.1),0,Network.kitchen,1.9994413305404
FactorialAnalysisPriority-46-20200110-15:06:59-19189,1.2,1.3 -(1.2),1,Network.kitchen,0.11107923498447
FactorialAnalysisPriority-57-20200110-15:07:10-19250,1.2,1.3 -(1.2),2,Network.kitchen,0.055692492877137
FactorialAnalysisPriority-79-20200110-15:07:33-19361,1.2,1.3 -(1.2),4,Network.kitchen,1.1726338038176
FactorialAnalysisPriority-51-20200110-15:07:04-19214,1.2,1.3 -(1.2),1,Network.kitchen,0.054885009943579
FactorialAnalysisPriority-73-20200110-15:07:26-19331,1.2,1.3 -(1.2),3,Network.kitchen,1.1903059829606
FactorialAnalysisPriority-64-20200110-15:07:17-19285,1.2,1.3 -(1.2),4,Network.kitchen,5.9231131012794
FactorialAnalysisPriority-67-20200110-15:07:20-19301,1.2,1.3 -(1.2),2,Network.kitchen,5.5964117439382
FactorialAnalysisPriority-9-20200110-15:06:24-19002,0.1,1.3 -(0.1),4,Network.kitchen,0.013289154646046
FactorialAnalysisPriority-41-20200110-15:06:55-19164,1.2,1.3 -(1.2),1,Network.kitchen,0.1100755078233
FactorialAnalysisPriority-20-20200110-15:06:34-19058,0.1,1.3 -(0.1),0,Network.kitchen,2.1910785721748
FactorialAnalysisPriority-8-20200110-15:06:24-18997,0.1,1.3 -(0.1),3,Network.kitchen,0.014431374426624
FactorialAnalysisPriority-40-20200110-15:06:54-19159,1.2,1.3 -(1.2),0,Network.kitchen,0.10653115506553
FactorialAnalysisPriority-66-20200110-15:07:19-19296,1.2,1.3 -(1.2),1,Network.kitchen,5.7635334629798
FactorialAnalysisPriority-76-20200110-15:07:30-19346,1.2,1.3 -(1.2),1,Network.kitchen,1.1630079090786
FactorialAnalysisPriority-10-20200110-15:06:24-19007,0.1,1.3 -(0.1),0,Network.kitchen,0.0067941351480556
FactorialAnalysisPriority-32-20200110-15:06:46-19119,0.1,1.3 -(0.1),2,Network.kitchen,0.25175853482655
FactorialAnalysisPriority-21-20200110-15:06:34-19063,0.1,1.3 -(0.1),1,Network.kitchen,2.0733558643432
FactorialAnalysisPriority-35-20200110-15:06:48-19134,0.1,1.3 -(0.1),0,Network.kitchen,0.23802029545471
FactorialAnalysisPriority-52-20200110-15:07:06-19225,1.2,1.3 -(1.2),2,Network.kitchen,0.05620351766894
FactorialAnalysisPriority-74-20200110-15:07:27-19336,1.2,1.3 -(1.2),4,Network.kitchen,1.1685608068112
FactorialAnalysisPriority-42-20200110-15:06:56-19169,1.2,1.3 -(1.2),2,Network.kitchen,0.11448817310827
FactorialAnalysisPriority-55-20200110-15:07:08-19240,1.2,1.3 -(1.2),0,Network.kitchen,0.056625879013154
FactorialAnalysisPriority-77-20200110-15:07:30-19351,1.2,1.3 -(1.2),2,Network.kitchen,1.1995514236524
FactorialAnalysisPriority-11-20200110-15:06:24-19012,0.1,1.3 -(0.1),1,Network.kitchen,0.0064895559131637
FactorialAnalysisPriority-33-20200110-15:06:47-19124,0.1,1.3 -(0.1),3,Network.kitchen,0.26123961792754
