run,nr,vr,repetition,Module,vipQueueLength:timeavg
FactorialAnalysisPriority-38-20200110-15:06:51-19149,0.1,1.3 -(0.1),3,Network.kitchen,0.94973376384805
FactorialAnalysisPriority-23-20200110-15:06:35-19073,0.1,1.3 -(0.1),3,Network.kitchen,3.2984108443229
FactorialAnalysisPriority-25-20200110-15:06:38-19083,0.1,1.3 -(0.1),0,Network.kitchen,3.3494508006245
FactorialAnalysisPriority-46-20200110-15:06:59-19189,1.2,1.3 -(1.2),1,Network.kitchen,0.0064401345156848
FactorialAnalysisPriority-57-20200110-15:07:10-19250,1.2,1.3 -(1.2),2,Network.kitchen,0.0033868956664623
FactorialAnalysisPriority-79-20200110-15:07:33-19361,1.2,1.3 -(1.2),4,Network.kitchen,0.033149643840188
FactorialAnalysisPriority-51-20200110-15:07:04-19214,1.2,1.3 -(1.2),1,Network.kitchen,0.0032662707729272
FactorialAnalysisPriority-73-20200110-15:07:26-19331,1.2,1.3 -(1.2),3,Network.kitchen,0.032250663911428
FactorialAnalysisPriority-64-20200110-15:07:17-19285,1.2,1.3 -(1.2),4,Network.kitchen,0.061409470592013
FactorialAnalysisPriority-67-20200110-15:07:20-19301,1.2,1.3 -(1.2),2,Network.kitchen,0.060548059543393
FactorialAnalysisPriority-9-20200110-15:06:24-19002,0.1,1.3 -(0.1),4,Network.kitchen,0.10467821730348
FactorialAnalysisPriority-41-20200110-15:06:55-19164,1.2,1.3 -(1.2),1,Network.kitchen,0.005855309372286
FactorialAnalysisPriority-20-20200110-15:06:34-19058,0.1,1.3 -(0.1),0,Network.kitchen,3.5440463318043
FactorialAnalysisPriority-8-20200110-15:06:24-18997,0.1,1.3 -(0.1),3,Network.kitchen,0.10951889419239
FactorialAnalysisPriority-40-20200110-15:06:54-19159,1.2,1.3 -(1.2),0,Network.kitchen,0.0058832609217037
FactorialAnalysisPriority-66-20200110-15:07:19-19296,1.2,1.3 -(1.2),1,Network.kitchen,0.061881359570686
FactorialAnalysisPriority-76-20200110-15:07:30-19346,1.2,1.3 -(1.2),1,Network.kitchen,0.032221743938181
FactorialAnalysisPriority-10-20200110-15:06:24-19007,0.1,1.3 -(0.1),0,Network.kitchen,0.055532395012722
FactorialAnalysisPriority-32-20200110-15:06:46-19119,0.1,1.3 -(0.1),2,Network.kitchen,0.98993587707363
FactorialAnalysisPriority-21-20200110-15:06:34-19063,0.1,1.3 -(0.1),1,Network.kitchen,3.3226104749224
FactorialAnalysisPriority-35-20200110-15:06:48-19134,0.1,1.3 -(0.1),0,Network.kitchen,0.96743420607137
FactorialAnalysisPriority-52-20200110-15:07:06-19225,1.2,1.3 -(1.2),2,Network.kitchen,0.0030819937647235
FactorialAnalysisPriority-74-20200110-15:07:27-19336,1.2,1.3 -(1.2),4,Network.kitchen,0.032299842913577
FactorialAnalysisPriority-42-20200110-15:06:56-19169,1.2,1.3 -(1.2),2,Network.kitchen,0.0058460363298067
FactorialAnalysisPriority-55-20200110-15:07:08-19240,1.2,1.3 -(1.2),0,Network.kitchen,0.0035136132572783
FactorialAnalysisPriority-77-20200110-15:07:30-19351,1.2,1.3 -(1.2),2,Network.kitchen,0.032456637357552
FactorialAnalysisPriority-11-20200110-15:06:24-19012,0.1,1.3 -(0.1),1,Network.kitchen,0.053511587121107
FactorialAnalysisPriority-33-20200110-15:06:47-19124,0.1,1.3 -(0.1),3,Network.kitchen,0.97874744963021
