run,nr,vr,repetition,Module,vipQueueLength:timeavg
FactorialAnalysisFifo-53-20200110-14:57:51-18495,1.2,1.3 -(1.2),3,Network.cashier,0.061676770793299
FactorialAnalysisFifo-54-20200110-14:57:51-18500,1.2,1.3 -(1.2),4,Network.cashier,0.062450731750938
FactorialAnalysisFifo-55-20200110-14:57:53-18505,1.2,1.3 -(1.2),0,Network.cashier,0.034709667950254
FactorialAnalysisFifo-56-20200110-14:57:54-18510,1.2,1.3 -(1.2),1,Network.cashier,0.033997468733845
FactorialAnalysisFifo-57-20200110-14:57:55-18515,1.2,1.3 -(1.2),2,Network.cashier,0.034408411362013
FactorialAnalysisFifo-58-20200110-14:57:55-18520,1.2,1.3 -(1.2),3,Network.cashier,0.034247697254551
FactorialAnalysisFifo-59-20200110-14:57:56-18525,1.2,1.3 -(1.2),4,Network.cashier,0.034276417237644
FactorialAnalysisFifo-60-20200110-14:57:58-18530,1.2,1.3 -(1.2),0,Network.cashier,0.061074237623071
FactorialAnalysisFifo-61-20200110-14:57:59-18535,1.2,1.3 -(1.2),1,Network.cashier,0.061748292588336
FactorialAnalysisFifo-62-20200110-14:57:59-18540,1.2,1.3 -(1.2),2,Network.cashier,0.0619092203529
FactorialAnalysisFifo-63-20200110-14:58:00-18545,1.2,1.3 -(1.2),3,Network.cashier,0.062737565382954
FactorialAnalysisFifo-64-20200110-14:58:02-18550,1.2,1.3 -(1.2),4,Network.cashier,0.062324371020107
FactorialAnalysisFifo-65-20200110-14:58:03-18555,1.2,1.3 -(1.2),0,Network.cashier,0.034199300839477
FactorialAnalysisFifo-66-20200110-14:58:03-18560,1.2,1.3 -(1.2),1,Network.cashier,0.034599799805795
FactorialAnalysisFifo-67-20200110-14:58:05-18565,1.2,1.3 -(1.2),2,Network.cashier,0.034718805781119
FactorialAnalysisFifo-68-20200110-14:58:07-18570,1.2,1.3 -(1.2),3,Network.cashier,0.034802689839015
FactorialAnalysisFifo-69-20200110-14:58:07-18575,1.2,1.3 -(1.2),4,Network.cashier,0.0338523841609
FactorialAnalysisFifo-70-20200110-14:58:07-18580,1.2,1.3 -(1.2),0,Network.cashier,0.061902897601655
FactorialAnalysisFifo-71-20200110-14:58:09-18585,1.2,1.3 -(1.2),1,Network.cashier,0.061614936070677
FactorialAnalysisFifo-72-20200110-14:58:11-18590,1.2,1.3 -(1.2),2,Network.cashier,0.061172292263125
FactorialAnalysisFifo-73-20200110-14:58:11-18595,1.2,1.3 -(1.2),3,Network.cashier,0.063300083181228
FactorialAnalysisFifo-74-20200110-14:58:11-18600,1.2,1.3 -(1.2),4,Network.cashier,0.061287261838559
FactorialAnalysisFifo-75-20200110-14:58:14-18605,1.2,1.3 -(1.2),0,Network.cashier,0.033754504059187
FactorialAnalysisFifo-76-20200110-14:58:15-18610,1.2,1.3 -(1.2),1,Network.cashier,0.034215705875812
FactorialAnalysisFifo-77-20200110-14:58:15-18615,1.2,1.3 -(1.2),2,Network.cashier,0.034368367423327
FactorialAnalysisFifo-78-20200110-14:58:16-18620,1.2,1.3 -(1.2),3,Network.cashier,0.034290660591917
FactorialAnalysisFifo-79-20200110-14:58:18-18625,1.2,1.3 -(1.2),4,Network.cashier,0.034575950765858
